"Designator","Mid X","Mid Y","Layer","Rotation"
"BT1","114.925000","-108.500000","bottom","180.000000"
"C1","121.500000","-111.500000","top","0.000000"
"C2","113.500000","-111.500000","top","0.000000"
"C3","131.000000","-110.100000","top","90.000000"
"C4","131.000000","-113.400000","top","90.000000"
"C5","117.000000","-112.275000","top","90.000000"
"C8","100.200000","-114.200000","top","90.000000"
"D1","106.400000","-112.000000","top","0.000000"
"D3","101.600000","-118.600000","top","0.000000"
"R1","103.800000","-112.600000","top","180.000000"
"R7","103.800000","-117.100000","top","0.000000"
"R8","106.800000","-115.000000","top","0.000000"
"SW1","106.200000","-121.000000","top","0.000000"
"U4","117.500000","-122.000000","top","180.000000"
